auroc,aupr,acc,loss,ineff,coverage_mean,ineff_list
0.948774837620161,0.966374873816092,0.9432357594936709,0.2531282318921029,1.5561000108718872,0.9903069990873337,1.4265070009231566
0.9554633241401362,0.9708880725712998,0.9433346518987342,0.24406419147419023,1.699199914932251,0.9900839972496033,1.4127179992198944
0.9632280752243341,0.9753309767793523,0.9417523734177216,0.2422446319951287,1.8282999992370605,0.9900810015201569,1.4006620049476624
0.952618927993285,0.9680258818418987,0.9434335443037974,0.32153520327580126,1.9361999034881592,0.99034199655056,1.3929730010032655
0.96210379818934,0.9764492567062202,0.9430379746835443,0.2123561328913592,1.8717999458312988,0.9899090033769607,1.3831759989261627
0.9564±0.0062,0.9714±0.0044,0.943±0.0007,0.2547±0.0404,1.7783±0.1515,0.9901±0.0002,1.4032±0.0169
0.9495378529887883,0.965747157530209,0.9437302215189873,0.20525670164748083,1.517699956893921,0.9903079980611801,1.3148659992218017
0.9621456722025701,0.9743451770350754,0.9435324367088608,0.22697175058382976,1.6340999603271484,0.99028400182724,1.3268269991874695
0.9626339768571258,0.9749268983418238,0.9433346518987342,0.2155859574109693,1.5792999267578125,0.9901069986820221,1.3196360051631928
0.9494774596798369,0.9673541259665617,0.9415545886075949,0.2689644196365453,1.452299952507019,0.9902159994840622,1.3128679955005647
0.9560029078481924,0.9697442863276959,0.9439280063291139,0.20359968629818928,1.4660999774932861,0.9900830006599426,1.3109140002727508
0.956±0.0064,0.9704±0.0041,0.9432±0.001,0.2241±0.0268,1.5299±0.0767,0.9902±0.0001,1.317±0.0064
